"id","QtySold","Price","Advertised","Holiday","Date","Product"
"1","0","1.99","0","0","18-Oct-04","Baked potato chips"
"2","4","1.99","0","0","18-Oct-04","Barbeque pork rinds"
"3","5","1.99","0","0","18-Oct-04","Barbeque potato chips"
"4","2","2.99","0","0","18-Oct-04","Bread sticks"
"5","5","1.99","0","0","18-Oct-04","Buttery popcorn"
"6","2","2.99","0","0","18-Oct-04","Carmelized popcorn"
"7","1","1.99","0","0","18-Oct-04","Cheddar cheese break sticks"
"8","4","2.49","1","0","18-Oct-04","Cheddar cheese popcorn"
"9","6","1.49","0","0","18-Oct-04","Cheese puffs"
"10","27","0.99","0","0","18-Oct-04","Classic potato chips"
"11","4","1.99","0","0","18-Oct-04","Easy dip tortilla chips"
"12","15","0.99","0","0","18-Oct-04","Extra hot pork rinds"
"13","0","2.99","0","0","18-Oct-04","Fiesta sticks"
"14","3","1.49","0","0","18-Oct-04","Fried pork rinds"
"15","2","2.49","0","0","18-Oct-04","Hot spicy cheese puffs"
"16","2","2.49","0","0","18-Oct-04","Jalepeno sticks"
"17","0","2.49","0","0","18-Oct-04","Jumbo pretzel sticks"
"18","4","1.49","0","0","18-Oct-04","Low-fat popcorn"
"19","9","1.49","0","0","18-Oct-04","Low-fat saltines"
"20","0","2.49","0","0","18-Oct-04","Multigrain chips"
"21","3","1.99","0","0","18-Oct-04","Pepper sticks"
"22","2","0.99","0","0","18-Oct-04","Pretzel sticks"
"23","1","2.49","0","0","18-Oct-04","Pretzel twists"
"24","9","1.99","0","0","18-Oct-04","Ruffled potato chips"
"25","1","0.99","0","0","18-Oct-04","Rye crackers"
"26","7","2.49","1","0","18-Oct-04","Salt and vinegar potato chips"
"27","2","2.99","0","0","18-Oct-04","Saltine crackers"
"28","0","2.99","0","0","18-Oct-04","Shredded wheat crackers"
"29","0","2.99","0","0","18-Oct-04","Stone-ground wheat sticks"
"30","1","2.99","0","0","18-Oct-04","Sun-dried tomato multigrain chips"
"31","13","0.99","0","0","18-Oct-04","Tortilla chips"
"32","2","1.99","0","0","18-Oct-04","WOW cheese puffs"
"33","1","2.99","0","0","18-Oct-04","WOW potato chips"
"34","0","2.49","0","0","18-Oct-04","WOW tortilla chips"
"35","0","3.49","0","0","18-Oct-04","Wheat crackers"
"36","0","1.99","0","0","17-Oct-04","Baked potato chips"
"37","3","1.99","0","0","17-Oct-04","Barbeque pork rinds"
"38","7","1.99","0","0","17-Oct-04","Barbeque potato chips"
"39","2","2.99","0","0","17-Oct-04","Bread sticks"
"40","5","1.99","0","0","17-Oct-04","Buttery popcorn"
"41","5","2.99","0","0","17-Oct-04","Carmelized popcorn"
"42","4","1.99","0","0","17-Oct-04","Cheddar cheese break sticks"
"43","1","2.49","1","0","17-Oct-04","Cheddar cheese popcorn"
"44","9","1.49","0","0","17-Oct-04","Cheese puffs"
"45","39","0.99","0","0","17-Oct-04","Classic potato chips"
"46","7","1.99","0","0","17-Oct-04","Easy dip tortilla chips"
"47","13","0.99","0","0","17-Oct-04","Extra hot pork rinds"
"48","0","2.99","0","0","17-Oct-04","Fiesta sticks"
"49","3","1.49","0","0","17-Oct-04","Fried pork rinds"
"50","1","2.49","0","0","17-Oct-04","Hot spicy cheese puffs"
"51","3","2.49","0","0","17-Oct-04","Jalepeno sticks"
"52","0","2.49","0","0","17-Oct-04","Jumbo pretzel sticks"
"53","6","1.49","0","0","17-Oct-04","Low-fat popcorn"
"54","8","1.49","0","0","17-Oct-04","Low-fat saltines"
"55","6","2.49","1","0","17-Oct-04","Multigrain chips"
"56","0","1.99","0","0","17-Oct-04","Pepper sticks"
"57","6","0.99","0","0","17-Oct-04","Pretzel sticks"
"58","3","2.49","0","0","17-Oct-04","Pretzel twists"
"59","5","1.99","0","0","17-Oct-04","Ruffled potato chips"
"60","3","0.99","0","0","17-Oct-04","Rye crackers"
"61","5","2.49","1","0","17-Oct-04","Salt and vinegar potato chips"
"62","2","2.99","0","0","17-Oct-04","Saltine crackers"
"63","0","2.99","0","0","17-Oct-04","Shredded wheat crackers"
"64","0","2.99","0","0","17-Oct-04","Stone-ground wheat sticks"
